,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-09-05 05:54:00,0.0,0.0,269.56823557945506,0.0,82361.22860721759,18024.680072020263,-13.478411778975818,100385.90867923785,0.0
2019-09-05 05:55:00,0.0,0.0,269.56823557945506,0.0,82361.22860721758,18013.223422008137,-11.456650012124083,100374.45202922572,0.0
2019-09-05 05:56:00,0.0,0.0,269.56823557945506,0.0,82361.22860721758,17994.353645517574,-18.869776490563847,100355.58225273516,0.0
2019-09-05 05:57:00,0.0,0.0,269.56823557945506,0.0,82361.22860721759,18004.462454351804,10.108808834231864,100365.69106156939,0.0
2019-09-05 05:58:00,0.0,0.0,269.56823557945506,0.0,82361.22860721759,18036.13672203239,31.674267680583977,100397.36532924998,0.0
2019-09-05 05:59:00,0.0,0.0,269.56823557945506,0.0,82361.22860721759,18044.89768968872,8.760967656331983,100406.12629690631,0.0
2019-09-05 06:00:00,0.0,0.0,219.35104307945505,0.0,85720.4593026858,14680.61693570023,-5.050058520261999,100401.07623838604,1.680455575521875
2019-09-05 06:01:00,0.0,0.0,219.35104307945505,0.0,85720.4593026858,14677.326670054039,-3.2902656461919504,100397.78597273985,0.0
2019-09-05 06:02:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14681.165313307929,3.838643253890089,100401.62461599374,0.0
2019-09-05 06:03:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14694.326375892697,13.161062584767802,100414.78567857851,0.0
2019-09-05 06:04:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14695.423131108093,1.0967552153962778,100415.88243379391,0.0
2019-09-05 06:05:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14701.455284792779,6.032153684685762,100421.9145874786,0.0
2019-09-05 06:06:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14704.745550438967,3.2902656461888333,100425.2048531248,0.0
2019-09-05 06:07:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14705.842305654367,1.096755215399395,100426.3016083402,0.0
2019-09-05 06:08:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14724.48714431612,18.644838661752306,100444.94644700196,0.0
2019-09-05 06:09:00,0.0,0.0,219.35104307945505,0.0,85720.45930268585,14738.744962116283,14.25781780016408,100459.20426480213,0.0
2019-09-05 06:10:00,0.0,0.0,219.35104307945505,0.0,85720.45930268585,14744.228738193271,5.483776076987623,100464.68804087912,0.0
2019-09-05 06:11:00,0.0,0.0,219.35104307945505,0.0,85720.45930268585,14749.712514270257,5.483776076987623,100470.1718169561,0.0
2019-09-05 06:12:00,0.0,0.0,219.35104307945505,0.0,85720.45930268585,14748.61575905486,-1.096755215399395,100469.0750617407,0.0
2019-09-05 06:13:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14748.067381447161,-0.5483776076981389,100468.526684133,0.0
2019-09-05 06:14:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14745.325493408667,-2.7418880384938116,100465.78479609451,0.0
2019-09-05 06:15:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14741.486850154777,-3.838643253890089,100461.94615284061,0.0
2019-09-05 06:16:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14742.035227762475,0.5483776076981389,100462.49453044831,0.0
2019-09-05 06:17:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14733.261186039299,-8.774041723176456,100453.72048872513,0.0
2019-09-05 06:18:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14719.551745846833,-13.70944019246594,100440.01104853266,0.0
2019-09-05 06:19:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14716.261480200641,-3.2902656461919504,100436.72078288646,0.0
2019-09-05 06:20:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14717.358235416037,1.0967552153962778,100437.81753810187,0.0
2019-09-05 06:21:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14713.519592162147,-3.838643253890089,100433.97889484797,0.0
2019-09-05 06:22:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14727.229032354613,13.70944019246594,100447.68833504044,0.0
2019-09-05 06:23:00,0.0,0.0,219.35104307945505,0.0,85720.45930268583,14727.777409962311,0.5483776076981389,100448.23671264814,0.0
2019-09-05 06:24:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14726.680654746915,-1.0967552153962778,100447.13995743274,0.0
2019-09-05 06:25:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14731.067675608503,4.387020861588228,100451.52697829432,0.0
2019-09-05 06:26:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14726.680654746915,-4.387020861588228,100447.13995743274,0.0
2019-09-05 06:27:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14721.745256277625,-4.935398469289484,100442.20455896345,0.0
2019-09-05 06:28:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14721.745256277625,0.0,100442.20455896345,0.0
2019-09-05 06:29:00,0.0,0.0,219.35104307945505,0.0,85720.45930268582,14729.422542785409,7.677286507783296,100449.88184547123,0.0
2019-09-05 06:30:00,0.0,0.0,203.73909807945506,0.0,86766.87286586998,13662.743917208258,-20.265062393001703,100429.61678307824,0.52346851585
2019-09-05 06:31:00,0.0,0.0,203.73909807945506,0.0,86766.87286586998,13662.743917208258,0.0,100429.61678307824,0.0
2019-09-05 06:32:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13663.762612698652,1.0186954903963488,100430.63547856863,0.0
2019-09-05 06:33:00,0.0,0.0,203.73909807945506,0.0,86766.87286586998,13666.309351424647,2.5467387259937673,100433.18221729463,0.0
2019-09-05 06:34:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13647.972832597496,-18.33651882715165,100414.84569846747,0.0
2019-09-05 06:35:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13641.86065965511,-6.112172942383883,100408.73352552508,0.0
2019-09-05 06:36:00,0.0,0.0,203.73909807945506,0.0,86766.87286586997,13643.388702890707,1.5280432355945233,100410.26156876067,0.0
